read_id	sequence_length_template
53491a91-4919-4697-b8c2-e4959a8b884b	346
6163bfc2-3fa1-40ec-9704-5f0d478fa581	366
5ab8767d-6dc0-43c0-8aac-9ee6303dcb40	345
ef60f3a6-c7e6-482b-afe5-fe05d655926b	429
72c56d28-56d8-40b3-88f2-9673eaab3074	343
fccff9d6-fac8-49f9-894a-e50c5b89b3b8	336
ae23b6fe-9ac8-4de9-999e-207edbfad466	352
6b4ba375-84d8-4986-acd8-7754c184969f	358
a06fe263-708c-4644-ad2b-7a837aa0726a	351
d5d8699a-b696-46a7-ae40-040e407a9496	305
bd6425d5-1483-4609-bc4b-0b3e8ad5a3cc	337
c96243d8-59e8-4fa6-8cd6-6a44381b147c	355
738ac244-c389-4b06-8047-558367b67573	351
